frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id75,id80,id81,id82,id83,id85,id86,id87,id101,id105,id109,id111,id115,id118,id119,id120,id124,id127,id134,id137,id140,id144,id145,id146,id147,id150,id152,id153,id154,id158,id159,id166,id167,id171,id172,id173,id176,id177,id179,id185,id188,id190,id198,id200,id201,id203,id211,id212,id215,id216,id217,id218,id219,id221,id228,id229,id230,id233,id236,id242,id249,id253,id255,id258,id262,id264,id268
0,"(485.20, 358.03)","(152.47, 290.65)","(38.08, 340.35)","(448.97, 359.29)","(481.44, 275.12)","(163.83, 306.03)","(299.14, 334.03)","(555.61, 304.36)","(423.86, 357.77)","(727.19, 344.38)","(93.38, 337.62)","(678.20, 342.10)","(167.38, 357.63)","(420.23, 366.29)","(288.64, 361.15)","(606.64, 364.34)","(602.79, 353.40)","(181.89, 362.02)","(566.61, 365.73)","(73.01, 360.13)","(207.99, 363.33)","(728.87, 364.61)","(595.25, 363.75)","(87.13, 361.46)","(698.54, 364.74)","(299.24, 362.38)","(434.96, 366.75)","(337.95, 363.88)","(678.24, 366.05)","(331.01, 363.90)","(168.21, 364.09)","(557.93, 362.19)","(290.99, 354.02)","(81.94, 362.44)","(79.72, 362.33)","(725.68, 365.73)","(79.77, 361.00)","(678.99, 365.64)","(728.09, 367.46)","(563.24, 364.50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(484.02, 357.17)","(152.10, 290.27)","(35.97, 336.76)","(448.46, 356.09)","(480.76, 273.79)","(164.80, 306.73)","(297.90, 333.28)","(555.36, 299.81)","(423.95, 354.70)","(728.34, 343.50)","(92.77, 334.54)","(677.99, 341.98)","(168.54, 353.53)","(420.16, 366.32)","(288.31, 361.10)","(606.59, 364.59)","(602.21, 350.19)","(181.37, 361.89)","(564.72, 365.32)","(71.28, 360.16)","(208.01, 363.41)","(729.96, 364.27)","(596.45, 364.10)","(86.52, 361.49)","(697.53, 364.85)","(298.88, 362.06)","(435.37, 366.90)","(338.15, 363.88)",,"(331.43, 363.80)","(168.59, 363.60)","(558.21, 362.97)","(290.69, 353.54)","(81.16, 361.84)",,"(724.27, 364.15)","(78.87, 361.32)","(679.01, 366.26)","(728.53, 368.55)",,"(185.32, 365.08)","(724.43, 369.18)","(88.31, 361.78)","(450.16, 364.08)","(727.22, 363.83)","(725.61, 368.63)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(484.13, 355.38)","(152.28, 290.49)","(35.34, 333.03)","(448.94, 353.00)","(480.45, 273.05)","(168.49, 305.78)","(298.10, 332.52)","(555.90, 296.05)","(425.52, 351.04)","(729.16, 342.41)","(92.82, 331.58)","(678.62, 342.19)","(169.05, 352.09)","(420.53, 366.13)","(288.66, 361.24)","(606.98, 364.48)","(601.68, 346.94)","(182.42, 361.58)","(563.60, 365.15)","(70.40, 360.27)","(206.52, 358.14)","(730.53, 363.75)","(599.52, 364.27)","(86.47, 361.12)","(697.42, 364.59)","(299.24, 361.67)","(435.51, 366.76)","(336.23, 363.51)",,,"(168.51, 363.70)","(557.70, 362.83)","(291.08, 353.64)",,"(82.78, 364.00)","(725.11, 363.77)",,"(680.36, 365.91)","(730.54, 367.78)",,"(187.79, 363.80)",,"(89.18, 361.71)","(450.43, 363.32)","(727.44, 364.00)","(727.68, 368.68)","(595.53, 364.00)","(189.52, 363.98)","(601.69, 364.44)","(605.21, 364.47)","(556.10, 362.56)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(482.70, 353.60)","(151.51, 290.76)","(33.26, 329.26)","(448.64, 350.96)","(480.22, 273.22)","(171.15, 305.56)","(296.92, 330.54)","(556.03, 293.84)","(425.06, 346.88)","(729.05, 342.38)","(92.48, 330.93)","(678.58, 342.29)","(168.63, 351.62)","(420.15, 366.26)","(288.17, 361.58)","(607.09, 364.84)","(601.80, 343.55)","(182.68, 361.69)",,"(69.68, 360.61)",,"(730.26, 364.04)","(600.44, 364.25)","(86.69, 361.10)","(696.99, 364.70)","(299.28, 362.69)",,"(340.20, 361.55)",,"(332.70, 363.83)","(168.10, 363.70)","(557.47, 363.25)","(290.24, 352.45)",,"(82.51, 365.14)","(724.74, 364.50)",,"(681.95, 364.72)",,"(563.29, 364.95)","(191.48, 362.92)",,"(89.47, 361.85)","(451.23, 363.81)","(726.77, 363.97)","(728.95, 368.75)","(595.27, 363.73)",,,"(603.90, 364.58)","(556.86, 363.30)","(197.04, 362.87)","(435.68, 359.45)","(436.29, 356.43)","(435.45, 355.84)","(197.36, 362.78)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(481.15, 352.61)","(151.05, 290.35)","(31.70, 325.21)","(449.20, 349.76)","(479.90, 273.28)","(173.69, 304.77)","(295.50, 327.92)","(556.23, 291.07)","(425.10, 343.01)","(728.82, 342.23)","(92.93, 327.92)","(679.14, 341.27)","(168.37, 349.31)","(420.22, 366.15)","(288.10, 361.10)","(606.87, 364.92)","(601.39, 340.21)","(184.25, 361.53)",,"(68.86, 360.52)",,"(728.75, 363.35)","(604.45, 364.80)","(83.53, 361.12)","(697.33, 363.95)","(299.71, 362.50)",,"(340.79, 361.09)",,"(333.32, 363.98)","(168.14, 363.76)","(557.01, 363.11)","(289.12, 349.29)",,"(82.88, 364.89)","(724.34, 363.31)",,"(684.95, 363.79)",,"(562.87, 365.09)","(195.63, 362.12)","(725.29, 368.67)","(88.93, 361.37)","(448.91, 363.88)",,"(729.76, 368.35)","(595.22, 363.74)",,"(601.27, 364.66)",,,,,,,,"(452.82, 362.17)","(337.41, 362.01)","(455.44, 358.24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(480.21, 351.58)","(150.92, 289.82)","(30.70, 321.70)","(450.81, 348.14)","(480.33, 273.17)","(176.03, 303.89)","(295.17, 325.17)","(557.45, 288.94)","(426.73, 338.56)","(729.18, 342.21)","(93.14, 324.10)","(680.36, 340.36)","(169.90, 347.30)","(420.81, 366.16)","(287.78, 359.01)",,"(602.27, 337.18)","(185.64, 362.13)",,"(69.02, 360.36)",,,"(606.22, 364.86)","(82.67, 361.09)","(697.34, 364.71)","(299.58, 362.36)",,"(340.78, 361.10)",,"(333.60, 363.89)",,"(555.69, 362.38)","(288.18, 345.26)",,"(83.05, 364.59)",,,"(688.29, 364.36)",,"(562.56, 365.58)","(189.73, 361.61)","(728.12, 367.72)","(89.63, 361.79)","(450.80, 363.58)","(726.46, 363.19)",,"(595.57, 363.75)","(189.53, 361.81)","(601.44, 365.01)","(602.85, 364.89)","(557.34, 362.63)","(196.23, 361.90)",,,,,,,,"(463.95, 363.33)","(164.23, 344.36)","(32.14, 361.36)","(698.24, 364.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(477.85, 350.83)","(150.35, 287.70)","(29.92, 317.46)","(452.77, 344.70)","(480.18, 273.39)","(177.78, 303.96)","(294.22, 321.93)","(557.55, 286.79)","(426.28, 336.07)","(729.09, 342.09)","(92.43, 321.01)","(680.77, 338.82)","(170.32, 344.22)","(420.26, 366.15)","(287.54, 358.64)","(605.00, 364.41)","(602.49, 334.04)",,,"(69.13, 360.38)",,"(724.67, 367.88)",,"(82.48, 361.41)",,"(299.51, 362.28)",,,,,,"(556.80, 362.52)","(287.20, 342.81)",,,"(725.00, 363.24)",,"(689.98, 363.89)",,"(562.25, 365.75)",,"(726.73, 367.27)","(89.53, 361.95)","(450.84, 363.35)","(726.42, 366.30)","(729.23, 367.45)","(594.96, 363.56)","(188.06, 360.94)",,,"(556.93, 362.65)","(196.14, 361.86)",,,,,,"(339.34, 361.43)",,"(463.38, 362.04)",,"(33.59, 362.43)",,"(160.88, 325.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(475.16, 351.37)","(150.35, 287.75)","(29.10, 315.21)","(454.64, 340.91)","(479.89, 273.20)","(179.12, 304.51)","(293.38, 318.36)","(556.84, 284.94)","(426.60, 332.53)","(728.73, 342.11)","(91.94, 318.36)","(680.72, 335.72)","(170.95, 342.64)","(420.36, 366.20)","(286.23, 357.32)","(605.26, 364.35)","(602.87, 331.02)",,,"(68.70, 360.50)",,"(722.57, 368.69)",,"(82.20, 361.36)",,"(295.17, 362.59)",,,,,,,"(285.27, 339.31)",,,"(725.27, 362.28)",,"(689.69, 364.21)",,"(560.81, 365.73)",,,"(88.89, 361.88)","(450.71, 362.59)","(723.93, 367.29)",,"(595.54, 363.35)","(189.50, 360.52)","(605.24, 367.68)",,,"(196.19, 362.24)",,,,,,"(340.84, 361.06)",,"(462.12, 359.19)",,"(34.44, 361.84)",,"(160.67, 324.18)","(692.26, 310.48)","(561.11, 338.52)","(301.88, 344.19)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(472.58, 352.01)","(150.93, 287.75)","(29.00, 313.59)","(458.04, 337.64)","(480.50, 273.30)","(182.07, 307.21)","(293.02, 315.25)","(556.55, 282.06)","(428.02, 329.88)","(728.36, 339.71)","(92.03, 317.05)","(681.44, 333.03)","(172.78, 340.61)","(420.83, 366.11)","(286.22, 356.74)","(604.10, 363.84)","(603.58, 328.86)",,,"(68.14, 360.28)",,"(722.72, 368.33)",,"(82.61, 361.50)",,"(294.77, 362.52)",,,,"(335.21, 363.83)",,,"(284.40, 336.51)",,,"(725.53, 362.16)",,"(690.17, 363.96)",,"(560.60, 365.88)",,,"(90.05, 361.64)","(450.91, 362.80)","(726.49, 367.97)",,"(595.21, 363.63)","(188.94, 360.50)",,,,,,,,"(198.82, 362.43)",,"(341.41, 360.79)",,"(462.12, 355.88)",,"(36.61, 361.88)",,"(160.39, 321.99)",,,,"(571.81, 303.21)","(615.01, 345.36)","(690.05, 302.73)","(312.60, 333.46)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(469.92, 352.37)","(150.84, 288.91)",,"(459.64, 333.75)","(480.19, 273.19)","(184.77, 309.38)","(293.27, 312.75)","(555.33, 278.52)","(428.36, 328.36)","(726.78, 337.89)","(91.89, 317.01)","(680.85, 330.04)","(173.88, 337.77)","(421.14, 366.15)","(285.85, 356.38)","(603.73, 363.45)","(603.32, 326.98)",,,"(66.88, 360.11)",,"(722.26, 368.63)",,"(82.08, 361.63)",,"(292.74, 362.53)",,,,"(335.92, 363.54)",,,"(284.25, 334.15)",,,"(725.16, 362.29)",,"(691.90, 363.47)",,"(560.35, 365.76)",,,"(89.85, 361.34)","(450.22, 363.16)","(723.91, 366.55)",,"(594.16, 363.34)","(188.39, 360.61)",,,,,,,,"(200.60, 362.90)",,"(341.71, 359.43)",,"(461.76, 352.30)",,"(38.34, 361.37)",,"(159.26, 318.75)",,,,"(570.51, 303.85)","(615.68, 344.91)","(689.48, 301.20)",,"(309.87, 351.37)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
